city,date,fare,ride_id
Lake Jonathanshire,14-01-19 10:14,13.83,5.74E+12
South Michelleport,04-03-19 18:24,30.24,2.34E+12
Port Samanthamouth,24-02-19 4:29,33.44,2.01E+12
Rodneyfort,10-02-19 23:22,23.44,5.15E+12
South Jack,06-03-19 4:28,34.58,3.91E+12
South Latoya,11-03-19 12:26,9.52,2.00E+12
New Paulville,27-02-19 11:17,43.25,7.93E+11
Simpsonburgh,26-04-19 0:43,35.98,1.12E+11
South Karenland,08-01-19 3:28,35.09,8.00E+12
North Jasmine,09-03-19 6:26,42.81,5.33E+12
New Kimberlyborough,07-02-19 1:10,9.34,7.99E+12
West Angela,12-01-19 1:45,26.86,4.82E+12
Rodneyfort,02-03-19 18:03,44.26,2.49E+12
West Angela,10-01-19 12:17,12.74,2.11E+12
Roberthaven,04-05-19 14:48,25.66,1.03E+12
North Jason,28-03-19 22:28,9.19,7.01E+12
Williamsview,03-01-19 16:19,18.93,1.98E+12
Leahton,26-02-19 18:42,8.85,6.97E+12
West Anthony,06-03-19 2:27,10.02,9.40E+12
New Kimberlyborough,25-04-19 22:58,29.67,4.82E+12
Roberthaven,24-02-19 10:26,7.8,2.18E+12
New Paulton,01-05-19 3:12,8.28,8.53E+12
West Patrickchester,19-03-19 5:46,40.86,8.99E+11
Deanville,25-04-19 3:29,41.52,6.06E+12
West Josephberg,19-02-19 16:22,36.39,3.32E+12
West Samuelburgh,03-05-19 14:33,41.12,7.33E+12
West Heidi,14-03-19 23:46,24.4,4.91E+12
Loganberg,01-04-19 1:06,8.23,6.79E+11
Huntermouth,10-02-19 23:32,25.79,1.88E+12
South Latoya,11-01-19 18:44,27.41,8.66E+12
New Paulville,18-03-19 22:54,25.05,5.03E+12
Grahamburgh,15-01-19 11:44,40.69,3.07E+11
Port Frank,02-02-19 14:14,41.47,6.75E+12
East Kaylahaven,28-02-19 4:13,25.96,3.66E+12
Rodneyfort,03-02-19 0:48,44.86,2.33E+12
South Karenland,12-02-19 6:52,36.01,4.02E+12
West Robert,15-02-19 4:21,12.28,1.44E+12
North Markport,18-02-19 8:17,38.09,9.25E+11
Williamsview,12-03-19 6:47,8.35,1.94E+12
Richardfort,24-02-19 8:40,13.93,5.63E+12
New Kimberlyborough,14-03-19 16:47,27.9,6.75E+12
Reynoldsfurt,25-03-19 14:33,34.06,6.60E+12
South Karenland,08-05-19 2:31,41.33,5.69E+12
Rodneyfort,25-04-19 20:57,21.7,8.53E+12
Justinberg,23-04-19 8:59,14.65,9.88E+12
West Josephberg,05-03-19 3:27,12.91,1.03E+11
South Karenland,03-03-19 14:48,37.3,4.10E+12
Leahton,05-05-19 10:34,17.05,5.85E+12
Martinezhaven,19-03-19 15:31,5.3,2.64E+11
North Jason,03-03-19 2:13,28.02,2.67E+12
Jerryton,03-03-19 17:50,28.08,6.00E+12
Lake Scottton,18-02-19 9:22,25.02,3.91E+12
South Evanton,14-02-19 5:55,42.5,9.95E+12
Rogerston,08-05-19 1:54,32.69,1.64E+12
West Samuelburgh,02-05-19 13:55,38.77,2.93E+12
West Ericstad,24-04-19 3:20,7.31,4.29E+12
New Paulville,10-03-19 10:45,4.43,1.21E+12
Hurleymouth,04-05-19 21:50,21.44,4.04E+12
West Samuelburgh,03-03-19 3:17,25.17,1.78E+12
Joneschester,01-03-19 18:48,34.71,3.34E+12
New Paulville,03-04-19 7:51,32.7,9.56E+12
Simpsonburgh,19-01-19 23:06,15.83,2.33E+11
Port Angela,17-04-19 6:23,16.34,7.12E+12
West Ericstad,04-04-19 13:03,28.52,6.43E+12
New Kimberlyborough,16-03-19 1:38,17.19,2.77E+12
Joneschester,30-01-19 17:41,36.78,1.66E+12
North Markport,26-04-19 4:45,44.37,1.63E+12
Hurleymouth,22-03-19 11:19,32.85,8.45E+12
Barajasview,15-01-19 2:59,19.52,8.27E+12
Grahamburgh,06-04-19 13:48,23.87,1.47E+12
South Michelleport,02-03-19 9:54,33.12,8.14E+11
Loganberg,07-01-19 19:02,16.26,9.05E+12
West Christopherberg,18-03-19 17:14,12.64,1.06E+12
Rogerston,23-02-19 19:13,14.04,7.65E+12
Huntermouth,24-02-19 7:57,39.12,9.28E+11
New Jacobville,09-02-19 2:17,7.11,3.86E+12
Lake Jonathanshire,07-04-19 20:51,31.25,4.44E+12
Port David,17-03-19 14:42,33.11,1.03E+12
Martinezhaven,20-02-19 19:32,13.34,2.76E+12
Port Frank,19-04-19 19:35,26.47,6.72E+12
Valentineton,02-03-19 14:44,39.77,6.77E+12
Hurleymouth,03-03-19 11:28,36.31,1.67E+11
Carriemouth,25-02-19 8:26,32.37,6.92E+12
Port Samanthamouth,16-04-19 18:34,9.2,8.71E+12
Williamsstad,23-01-19 17:51,19.62,1.26E+11
Royland,07-01-19 2:23,24.5,3.62E+12
New Jacobville,05-01-19 5:02,34.11,2.83E+12
Roberthaven,06-03-19 22:56,12.38,3.37E+12
South Evanton,07-01-19 18:47,43.61,9.12E+12
New Paulton,03-05-19 12:09,21.67,9.09E+12
Karenberg,11-03-19 17:26,36.15,7.80E+12
Rodneyfort,30-01-19 12:34,16.99,5.78E+12
East Kaylahaven,04-04-19 2:35,23.18,57422927996
Huntermouth,19-02-19 3:19,7.05,1.62E+12
Barajasview,23-01-19 13:23,37.68,4.11E+12
Williamsstad,29-03-19 21:43,35.58,4.75E+12
North Jason,08-03-19 20:06,25.21,3.18E+12
Christopherfurt,17-04-19 2:25,23.3,7.82E+12
Liumouth,11-01-19 17:15,36.78,1.46E+12
Johnton,17-01-19 2:12,32.19,8.53E+12
West Angela,08-03-19 1:08,41.06,6.20E+12
Jerryton,04-01-19 16:38,37.2,5.64E+12
Erikaland,18-02-19 7:47,20.62,3.29E+12
North Jason,07-02-19 7:27,20,4.74E+11
Lake Scottton,05-05-19 11:21,18.77,4.05E+11
Simpsonburgh,22-03-19 8:56,22.05,3.50E+12
Raymondhaven,12-03-19 6:59,16.98,6.45E+12
West Robert,05-04-19 3:18,44.58,4.25E+12
North Jason,18-03-19 10:10,6.41,2.87E+12
Port Samanthamouth,23-01-19 9:08,35.51,3.12E+12
West Robert,21-01-19 17:21,27.11,1.37E+12
Jerryton,05-01-19 15:36,37.91,1.59E+12
Port Samanthamouth,03-02-19 7:07,18.03,9.29E+12
Liumouth,15-01-19 7:55,14.55,4.38E+12
West Heidi,03-04-19 3:16,24.76,1.82E+12
Loganberg,21-01-19 16:26,22.86,1.95E+12
Grahamburgh,17-02-19 9:54,30.25,4.05E+12
Raymondhaven,06-05-19 23:22,25.76,8.72E+12
Karenside,25-01-19 15:35,14.52,2.65E+12
Port Frank,06-04-19 21:38,18.08,5.47E+12
Leahton,02-04-19 17:39,22.76,5.81E+12
Port Samanthamouth,22-04-19 3:32,29.67,3.15E+12
Jerryton,13-04-19 21:47,32.08,8.50E+12
West Patrickchester,07-03-19 15:47,23.66,3.07E+12
West Samuelburgh,03-03-19 16:07,27.48,1.01E+11
North Markport,31-03-19 13:58,29.41,3.09E+12
West Angela,10-03-19 11:23,27.1,1.37E+12
Grahamburgh,12-03-19 2:44,22.97,4.90E+12
South Michelleport,08-01-19 9:38,23.77,4.92E+12
East Kaylahaven,02-04-19 7:05,9.67,2.09E+12
South Karenland,22-04-19 21:37,22.86,6.73E+12
Lake Danielberg,24-02-19 12:05,9.63,9.15E+12
Justinberg,26-04-19 8:41,8.83,1.82E+12
Karenberg,29-04-19 20:54,28.41,9.05E+12
South Phillip,09-02-19 16:46,7.89,3.20E+12
North Madeline,05-04-19 18:23,29.69,2.41E+11
New Kimberlyborough,01-05-19 13:56,22.59,9.25E+12
South Jack,24-04-19 19:33,38.04,2.20E+12
Erikaland,11-03-19 2:19,27.39,1.32E+11
New Paulville,27-03-19 2:18,7.29,7.05E+12
Hurleymouth,26-03-19 20:22,41.15,4.71E+12
Liumouth,12-04-19 3:38,43.34,7.86E+12
Deanville,01-05-19 21:53,8.28,5.93E+11
Karenside,02-04-19 19:22,41.93,4.09E+12
West Angela,30-01-19 18:08,19.13,2.08E+12
Liumouth,01-02-19 20:17,24.81,5.47E+12
Jerryton,27-03-19 12:48,13.29,8.96E+12
South Phillip,04-05-19 9:10,28.3,8.70E+12
Port Johnbury,27-04-19 16:22,25.67,2.75E+12
Raymondhaven,08-02-19 23:57,5.7,3.93E+12
Port David,07-03-19 18:37,42.04,9.91E+12
Robertport,06-03-19 9:51,6.73,9.68E+12
Loganberg,16-03-19 11:46,23.99,9.49E+12
Karenside,19-04-19 10:17,36.01,1.32E+12
Lake Jonathanshire,09-03-19 23:45,19.89,2.39E+12
Pattyland,30-01-19 12:35,8.57,4.69E+12
West Robert,13-04-19 6:56,32.94,9.60E+12
Justinberg,12-04-19 5:27,17.03,8.37E+12
West Josephberg,09-02-19 14:07,4.42,8.30E+12
North Markport,21-01-19 11:49,27.68,4.56E+12
Williamsview,09-01-19 15:24,44.46,2.20E+12
Raymondhaven,01-02-19 5:51,13.86,8.72E+12
South Latoya,12-02-19 16:32,30.22,7.39E+12
Deanville,29-03-19 4:07,5.32,2.61E+12
Amandaburgh,05-03-19 2:15,26.28,9.07E+11
Jerryton,27-01-19 14:46,29.08,6.16E+12
Deanville,24-03-19 0:26,30.55,5.28E+12
West Anthony,23-01-19 12:32,23.24,5.97E+11
West Anthony,24-02-19 6:14,39.2,8.49E+12
West Heidi,30-03-19 10:46,22.41,1.71E+12
Royland,01-01-19 3:46,7.57,5.82E+12
South Latoya,02-03-19 6:06,10.35,3.38E+11
Johnton,08-01-19 17:33,43.75,1.95E+11
West Angela,30-01-19 18:46,32.31,7.29E+12
Rodneyfort,08-01-19 0:29,29.4,1.18E+12
Royland,02-01-19 20:08,10.19,6.68E+11
New Paulville,31-01-19 5:32,20.8,1.09E+12
Huntermouth,09-04-19 20:23,35.11,3.01E+12
New Paulville,30-01-19 15:21,7.02,8.50E+12
Justinberg,03-05-19 2:49,36.06,9.30E+11
Port Angela,31-03-19 15:22,30.77,6.62E+11
Port Angela,09-04-19 14:34,11.9,7.01E+12
Christopherfurt,05-01-19 22:21,33.51,1.90E+12
South Michelleport,22-04-19 3:15,43.62,4.66E+12
Williamsstad,13-02-19 20:07,33.72,3.80E+12
Lake Jonathanshire,07-04-19 18:09,24.28,7.80E+12
Robertport,20-03-19 19:11,20.21,9.63E+12
Port Angela,08-02-19 16:30,30.38,5.17E+12
Barajasview,08-02-19 18:07,24.49,2.61E+12
South Evanton,24-01-19 7:08,17.83,3.00E+12
Lake Danielberg,13-02-19 11:01,43.96,1.00E+11
